,strategy,count,avg_scenario_score,max_scenario_score,num_scenarios
4,ucb1_q,58,0.46705739869667107,0.4984155700157728,4
3,tit_for_two_tats,43,0.46705739869667107,0.4984155700157728,4
0,always_defect,1,0.46215624435925085,0.46215624435925085,1
2,tit_for_tat,19,0.41119166524993483,0.41119166524993483,1
1,random,1,0.41119166524993483,0.41119166524993483,1
