round,agent_id,move,payoff,q_cooperate,q_defect
0,0,cooperate,0.7894736842105263,,
0,1,cooperate,0.3157894736842105,,
0,2,cooperate,0.3157894736842105,,
0,3,cooperate,0.3157894736842105,,
0,4,defect,2.263157894736842,,
0,5,cooperate,0.631578947368421,,
0,6,defect,2.263157894736842,,
0,7,cooperate,0.15789473684210525,,
0,8,defect,1.4210526315789473,,
0,9,cooperate,0.631578947368421,,
0,10,defect,1.631578947368421,,
0,11,defect,1.631578947368421,,
0,12,defect,1.4210526315789473,,
0,13,cooperate,0.0,,
0,14,defect,1.4210526315789473,3.952152602746123,7.5879115579079235
0,15,defect,1.0,3.6566889381367242,7.802249676477665
0,16,defect,1.2105263157894737,4.210481687915202,7.232464214544486
0,17,defect,1.2105263157894737,4.27393650269984,7.73626465918886
0,18,cooperate,0.3157894736842105,,
0,19,defect,1.4210526315789473,3.694140969503111,7.090746810532353
1,0,defect,1.2105263157894737,,
1,1,defect,1.2105263157894737,,
1,2,defect,1.0,,
1,3,defect,1.2105263157894737,,
1,4,defect,1.631578947368421,,
1,5,defect,1.2105263157894737,,
1,6,defect,1.8421052631578947,,
1,7,cooperate,0.0,,
1,8,cooperate,0.0,,
1,9,defect,1.2105263157894737,,
1,10,defect,1.2105263157894737,,
1,11,defect,1.4210526315789473,,
1,12,defect,1.0,,
1,13,cooperate,0.0,,
1,14,defect,1.0,3.952152602746123,7.5879115579079235
1,15,cooperate,0.0,3.6566889381367242,7.802249676477665
1,16,defect,1.0,4.210481687915202,7.232464214544486
1,17,defect,1.2105263157894737,4.27393650269984,7.73626465918886
1,18,cooperate,0.0,,
1,19,defect,1.2105263157894737,3.694140969503111,7.090746810532353
2,0,defect,2.473684210526316,,
2,1,cooperate,0.631578947368421,,
2,2,cooperate,0.47368421052631576,,
2,3,defect,1.0,,
2,4,cooperate,0.47368421052631576,,
2,5,cooperate,0.631578947368421,,
2,6,cooperate,0.3157894736842105,,
2,7,defect,1.631578947368421,,
2,8,defect,1.4210526315789473,,
2,9,cooperate,0.3157894736842105,,
2,10,cooperate,0.3157894736842105,,
2,11,defect,1.2105263157894737,,
2,12,defect,1.2105263157894737,,
2,13,defect,1.4210526315789473,,
2,14,defect,1.4210526315789473,3.952152602746123,7.5879115579079235
2,15,defect,1.4210526315789473,3.6566889381367242,7.802249676477665
2,16,defect,1.4210526315789473,4.210481687915202,7.232464214544486
2,17,defect,1.2105263157894737,4.27393650269984,7.73626465918886
2,18,defect,1.4210526315789473,,
2,19,defect,1.2105263157894737,3.694140969503111,7.090746810532353
3,0,cooperate,0.9473684210526315,,
3,1,defect,1.8421052631578947,,
3,2,defect,1.631578947368421,,
3,3,cooperate,0.15789473684210525,,
3,4,defect,1.631578947368421,,
3,5,cooperate,0.47368421052631576,,
3,6,cooperate,0.47368421052631576,,
3,7,defect,1.4210526315789473,,
3,8,cooperate,0.3157894736842105,,
3,9,cooperate,0.3157894736842105,,
