Round	PQL_1_mean	PQL_2_mean	PTFT-E_1_mean	Pavg1-2	QL_1_mean	QL_2_mean	TFT-E_1_mean	
400	0.735	0.785	0.61	0.76	0.41	0.25	0.43	0.33
401	0.72	0.66	0.74	0.69	0.32	0.4	0.33	0.36
402	0.73	0.665	0.68	0.6975	0.34	0.36	0.37	0.35
403	0.77	0.74	0.645	0.755	0.34	0.36	0.45	0.35
404	0.68	0.76	0.725	0.72	0.46	0.36	0.46	0.41
405	0.715	0.765	0.67	0.74	0.42	0.35	0.47	0.385
406	0.71	0.715	0.68	0.7125	0.33	0.4	0.4	0.365
407	0.735	0.705	0.635	0.72	0.25	0.39	0.35	0.32
408	0.67	0.7	0.685	0.685	0.28	0.35	0.41	0.315
409	0.69	0.73	0.605	0.71	0.31	0.28	0.43	0.295
410	0.735	0.77	0.725	0.7525	0.27	0.4	0.41	0.335
411	0.755	0.725	0.655	0.74	0.36	0.38	0.37	0.37
412	0.71	0.76	0.725	0.735	0.35	0.3	0.4	0.325
413	0.755	0.73	0.705	0.7425	0.29	0.33	0.45	0.31
414	0.715	0.745	0.675	0.73	0.36	0.4	0.36	0.38
415	0.7	0.74	0.72	0.72	0.37	0.41	0.43	0.39
416	0.725	0.775	0.67	0.75	0.3	0.39	0.41	0.345
417	0.74	0.705	0.71	0.7225	0.27	0.36	0.35	0.315
418	0.675	0.745	0.69	0.71	0.32	0.38	0.27	0.35
419	0.745	0.675	0.655	0.71	0.39	0.42	0.34	0.405
420	0.775	0.72	0.655	0.7475	0.32	0.35	0.39	0.335
421	0.665	0.77	0.715	0.7175	0.28	0.33	0.41	0.305
422	0.78	0.69	0.68	0.735	0.3	0.29	0.42	0.295
423	0.76	0.735	0.72	0.7475	0.3	0.37	0.4	0.335
424	0.74	0.695	0.705	0.7175	0.27	0.33	0.43	0.3
425	0.755	0.72	0.67	0.7375	0.31	0.3	0.41	0.305
426	0.71	0.73	0.7	0.72	0.35	0.36	0.35	0.355
427	0.77	0.755	0.65	0.7625	0.35	0.35	0.38	0.35
428	0.785	0.775	0.735	0.78	0.24	0.37	0.48	0.305
429	0.7	0.745	0.695	0.7225	0.31	0.4	0.4	0.355
430	0.74	0.7	0.63	0.72	0.3	0.36	0.41	0.33
431	0.775	0.71	0.62	0.7425	0.29	0.35	0.36	0.32
432	0.75	0.725	0.69	0.7375	0.31	0.35	0.38	0.33
433	0.7	0.7	0.625	0.7	0.33	0.22	0.37	0.275
434	0.8	0.71	0.67	0.755	0.19	0.26	0.4	0.225
435	0.71	0.755	0.68	0.7325	0.26	0.37	0.29	0.315
436	0.7	0.715	0.66	0.7075	0.25	0.21	0.36	0.23
437	0.72	0.715	0.68	0.7175	0.38	0.26	0.31	0.32
438	0.695	0.725	0.7	0.71	0.31	0.37	0.37	0.34
439	0.74	0.735	0.625	0.7375	0.32	0.38	0.43	0.35
440	0.68	0.71	0.705	0.695	0.39	0.3	0.32	0.345
441	0.77	0.77	0.635	0.77	0.37	0.27	0.34	0.32
442	0.73	0.775	0.695	0.7525	0.35	0.35	0.39	0.35
443	0.755	0.725	0.705	0.74	0.29	0.31	0.4	0.3
444	0.675	0.72	0.69	0.6975	0.21	0.35	0.35	0.28
445	0.735	0.72	0.685	0.7275	0.31	0.36	0.4	0.335
446	0.685	0.735	0.68	0.71	0.27	0.33	0.47	0.3
447	0.73	0.71	0.645	0.72	0.34	0.37	0.4	0.355
448	0.71	0.78	0.715	0.745	0.38	0.28	0.37	0.33
449	0.745	0.695	0.685	0.72	0.32	0.36	0.36	0.34
450	0.76	0.74	0.69	0.75	0.28	0.32	0.41	0.3
451	0.745	0.775	0.685	0.76	0.35	0.4	0.36	0.375
452	0.735	0.785	0.685	0.76	0.32	0.33	0.39	0.325
453	0.77	0.72	0.72	0.745	0.38	0.36	0.41	0.37
454	0.695	0.765	0.695	0.73	0.32	0.38	0.38	0.35
455	0.725	0.765	0.64	0.745	0.27	0.34	0.36	0.305
456	0.765	0.735	0.695	0.75	0.32	0.26	0.39	0.29
457	0.705	0.71	0.75	0.7075	0.35	0.28	0.36	0.315
458	0.76	0.715	0.695	0.7375	0.31	0.37	0.32	0.34
459	0.7	0.7	0.725	0.7	0.21	0.29	0.3	0.25
460	0.765	0.78	0.705	0.7725	0.32	0.17	0.33	0.245
461	0.74	0.775	0.66	0.7575	0.3	0.33	0.3	0.315
462	0.695	0.715	0.69	0.705	0.31	0.32	0.31	0.315
463	0.745	0.775	0.66	0.76	0.32	0.23	0.32	0.275
464	0.72	0.705	0.725	0.7125	0.28	0.33	0.32	0.305
465	0.73	0.725	0.69	0.7275	0.29	0.33	0.43	0.31
466	0.68	0.685	0.68	0.6825	0.37	0.3	0.35	0.335
467	0.715	0.715	0.62	0.715	0.33	0.35	0.4	0.34
468	0.725	0.71	0.67	0.7175	0.35	0.3	0.47	0.325
469	0.71	0.67	0.69	0.69	0.32	0.4	0.42	0.36
470	0.745	0.76	0.65	0.7525	0.27	0.29	0.46	0.28
471	0.76	0.76	0.7	0.76	0.26	0.3	0.33	0.28
472	0.745	0.755	0.69	0.75	0.39	0.36	0.34	0.375
473	0.705	0.735	0.73	0.72	0.3	0.34	0.46	0.32
474	0.76	0.745	0.625	0.7525	0.31	0.36	0.42	0.335
475	0.71	0.77	0.695	0.74	0.34	0.36	0.37	0.35
476	0.715	0.735	0.68	0.725	0.38	0.33	0.4	0.355
477	0.705	0.72	0.7	0.7125	0.3	0.35	0.44	0.325
478	0.755	0.715	0.715	0.735	0.36	0.4	0.36	0.38
479	0.735	0.725	0.685	0.73	0.39	0.3	0.47	0.345
480	0.715	0.72	0.655	0.7175	0.35	0.28	0.43	0.315
481	0.775	0.725	0.705	0.75	0.25	0.29	0.42	0.27
482	0.71	0.75	0.705	0.73	0.25	0.35	0.33	0.3
483	0.74	0.745	0.69	0.7425	0.38	0.38	0.42	0.38
484	0.66	0.72	0.7	0.69	0.36	0.37	0.37	0.365
485	0.75	0.735	0.65	0.7425	0.36	0.34	0.36	0.35
486	0.74	0.705	0.74	0.7225	0.22	0.42	0.41	0.32
487	0.71	0.735	0.695	0.7225	0.4	0.28	0.39	0.34
488	0.765	0.74	0.64	0.7525	0.3	0.25	0.4	0.275
489	0.73	0.735	0.73	0.7325	0.32	0.28	0.37	0.3
490	0.745	0.715	0.625	0.73	0.36	0.26	0.38	0.31
491	0.68	0.77	0.69	0.725	0.27	0.27	0.35	0.27
492	0.67	0.67	0.665	0.67	0.32	0.31	0.33	0.315
493	0.69	0.69	0.67	0.69	0.31	0.31	0.32	0.31
494	0.755	0.735	0.66	0.745	0.29	0.32	0.4	0.305
495	0.71	0.76	0.635	0.735	0.35	0.33	0.41	0.34
496	0.725	0.7	0.715	0.7125	0.22	0.31	0.38	0.265
497	0.78	0.695	0.635	0.7375	0.33	0.32	0.31	0.325
498	0.75	0.715	0.68	0.7325	0.37	0.26	0.35	0.315
499	0.765	0.715	0.71	0.74	0.32	0.25	0.43	0.285
500	0.75	0.68	0.715	0.715	0.25	0.26	0.3	0.255
