Round	PQL_1_mean	PQL_2_mean	PTFT-E_1_mean	Pavg1-2	QL_1_mean	QL_2_mean	TFT-E_1_mean	
91	0.76	0.7	0.69	0.73	0.56	0.72	0.57	0.64
92	0.68	0.79	0.715	0.735	0.56	0.58	0.6	0.57
93	0.68	0.7	0.7	0.69	0.6	0.62	0.57	0.61
94	0.71	0.73	0.64	0.72	0.63	0.63	0.57	0.63
95	0.715	0.68	0.705	0.6975	0.58	0.7	0.59	0.64
96	0.74	0.71	0.62	0.725	0.61	0.62	0.58	0.615
97	0.725	0.735	0.68	0.73	0.62	0.58	0.62	0.6
98	0.7	0.7	0.66	0.7	0.65	0.67	0.69	0.66
99	0.695	0.685	0.685	0.69	0.59	0.63	0.6	0.61
100	0.69	0.7	0.685	0.695	0.61	0.56	0.58	0.585
101	0.71	0.72	0.66	0.715	0.53	0.59	0.62	0.56
102	0.71	0.67	0.69	0.69	0.61	0.57	0.6	0.59
103	0.705	0.75	0.655	0.7275	0.6	0.63	0.54	0.615
104	0.74	0.7	0.725	0.72	0.61	0.62	0.64	0.615
105	0.66	0.73	0.72	0.695	0.53	0.65	0.6	0.59
106	0.71	0.675	0.685	0.6925	0.56	0.55	0.53	0.555
107	0.68	0.72	0.65	0.7	0.57	0.61	0.56	0.59
108	0.74	0.695	0.66	0.7175	0.6	0.57	0.66	0.585
109	0.69	0.705	0.715	0.6975	0.65	0.62	0.6	0.635
110	0.72	0.685	0.68	0.7025	0.56	0.63	0.63	0.595
111	0.645	0.745	0.675	0.695	0.6	0.6	0.59	0.6
112	0.78	0.755	0.66	0.7675	0.63	0.61	0.61	0.62
113	0.73	0.715	0.695	0.7225	0.57	0.68	0.57	0.625
114	0.725	0.695	0.62	0.71	0.51	0.62	0.56	0.565
115	0.7	0.71	0.655	0.705	0.66	0.64	0.53	0.65
116	0.71	0.71	0.64	0.71	0.6	0.62	0.55	0.61
117	0.705	0.75	0.71	0.7275	0.53	0.67	0.52	0.6
118	0.72	0.665	0.645	0.6925	0.55	0.58	0.5	0.565
119	0.685	0.655	0.655	0.67	0.57	0.58	0.54	0.575
120	0.7	0.725	0.64	0.7125	0.57	0.65	0.52	0.61
121	0.7	0.675	0.645	0.6875	0.52	0.54	0.65	0.53
122	0.725	0.735	0.64	0.73	0.58	0.63	0.53	0.605
123	0.74	0.71	0.74	0.725	0.56	0.66	0.6	0.61
124	0.75	0.725	0.71	0.7375	0.62	0.67	0.54	0.645
125	0.69	0.685	0.7	0.6875	0.65	0.54	0.69	0.595
126	0.715	0.72	0.645	0.7175	0.57	0.61	0.5	0.59
127	0.695	0.695	0.67	0.695	0.58	0.56	0.43	0.57
128	0.74	0.735	0.605	0.7375	0.51	0.61	0.53	0.56
129	0.675	0.73	0.67	0.7025	0.59	0.6	0.51	0.595
130	0.665	0.715	0.67	0.69	0.62	0.62	0.5	0.62
131	0.7	0.64	0.675	0.67	0.49	0.57	0.61	0.53
132	0.735	0.75	0.67	0.7425	0.49	0.64	0.51	0.565
133	0.72	0.705	0.72	0.7125	0.59	0.61	0.45	0.6
134	0.74	0.69	0.725	0.715	0.55	0.53	0.55	0.54
135	0.705	0.74	0.655	0.7225	0.51	0.58	0.49	0.545
136	0.71	0.73	0.67	0.72	0.5	0.49	0.57	0.495
137	0.69	0.705	0.705	0.6975	0.51	0.63	0.56	0.57
138	0.76	0.73	0.635	0.745	0.56	0.62	0.59	0.59
139	0.675	0.695	0.74	0.685	0.49	0.57	0.58	0.53
140	0.755	0.73	0.63	0.7425	0.52	0.57	0.54	0.545
141	0.735	0.725	0.72	0.73	0.61	0.59	0.51	0.6
142	0.73	0.735	0.72	0.7325	0.62	0.65	0.61	0.635
143	0.68	0.66	0.695	0.67	0.63	0.65	0.64	0.64
144	0.705	0.72	0.635	0.7125	0.56	0.52	0.61	0.54
145	0.71	0.69	0.655	0.7	0.48	0.5	0.48	0.49
146	0.755	0.74	0.635	0.7475	0.59	0.62	0.53	0.605
147	0.715	0.73	0.71	0.7225	0.53	0.54	0.54	0.535
148	0.755	0.725	0.67	0.74	0.58	0.57	0.59	0.575
149	0.695	0.75	0.695	0.7225	0.59	0.59	0.59	0.59
150	0.7	0.71	0.63	0.705	0.55	0.57	0.62	0.56
151	0.66	0.73	0.715	0.695	0.54	0.54	0.52	0.54
152	0.71	0.72	0.665	0.715	0.5	0.58	0.54	0.54
153	0.675	0.695	0.645	0.685	0.59	0.66	0.51	0.625
154	0.685	0.735	0.675	0.71	0.62	0.51	0.63	0.565
155	0.74	0.74	0.68	0.74	0.46	0.54	0.61	0.5
156	0.725	0.715	0.69	0.72	0.59	0.63	0.57	0.61
157	0.695	0.73	0.71	0.7125	0.52	0.59	0.61	0.555
158	0.805	0.715	0.66	0.76	0.59	0.59	0.54	0.59
159	0.71	0.65	0.705	0.68	0.59	0.58	0.49	0.585
160	0.77	0.725	0.665	0.7475	0.51	0.47	0.69	0.49
161	0.665	0.715	0.715	0.69	0.44	0.57	0.59	0.505
162	0.675	0.76	0.63	0.7175	0.54	0.6	0.5	0.57
163	0.73	0.735	0.635	0.7325	0.58	0.62	0.49	0.6
164	0.655	0.675	0.66	0.665	0.54	0.56	0.51	0.55
165	0.765	0.72	0.63	0.7425	0.49	0.6	0.5	0.545
166	0.73	0.765	0.7	0.7475	0.53	0.59	0.53	0.56
167	0.7	0.7	0.68	0.7	0.43	0.58	0.47	0.505
168	0.715	0.65	0.675	0.6825	0.55	0.54	0.49	0.545
169	0.74	0.73	0.63	0.735	0.54	0.57	0.46	0.555
170	0.69	0.71	0.705	0.7	0.58	0.57	0.55	0.575
171	0.705	0.785	0.645	0.745	0.53	0.53	0.6	0.53
172	0.765	0.69	0.69	0.7275	0.57	0.53	0.6	0.55
173	0.69	0.75	0.67	0.72	0.54	0.62	0.59	0.58
174	0.715	0.65	0.66	0.6825	0.54	0.58	0.68	0.56
175	0.66	0.74	0.615	0.7	0.59	0.53	0.53	0.56
176	0.71	0.715	0.65	0.7125	0.57	0.66	0.54	0.615
177	0.725	0.745	0.675	0.735	0.46	0.56	0.57	0.51
178	0.7	0.685	0.725	0.6925	0.58	0.57	0.56	0.575
179	0.76	0.73	0.655	0.745	0.48	0.52	0.5	0.5
180	0.695	0.735	0.69	0.715	0.48	0.57	0.54	0.525
181	0.7	0.71	0.69	0.705	0.53	0.58	0.49	0.555
182	0.71	0.745	0.665	0.7275	0.49	0.5	0.54	0.495
183	0.72	0.735	0.705	0.7275	0.46	0.45	0.51	0.455
184	0.71	0.755	0.655	0.7325	0.46	0.54	0.5	0.5
185	0.74	0.725	0.675	0.7325	0.49	0.54	0.48	0.515
186	0.67	0.71	0.685	0.69	0.47	0.53	0.52	0.5
187	0.74	0.76	0.64	0.75	0.41	0.5	0.44	0.455
188	0.76	0.735	0.715	0.7475	0.54	0.57	0.44	0.555
189	0.715	0.665	0.675	0.69	0.47	0.5	0.52	0.485
190	0.705	0.775	0.705	0.74	0.45	0.51	0.48	0.48
191	0.705	0.715	0.715	0.71	0.45	0.49	0.41	0.47
192	0.72	0.71	0.645	0.715	0.41	0.55	0.51	0.48
193	0.765	0.725	0.71	0.745	0.47	0.54	0.51	0.505
194	0.74	0.695	0.685	0.7175	0.58	0.54	0.54	0.56
195	0.71	0.705	0.695	0.7075	0.55	0.51	0.56	0.53
196	0.74	0.755	0.69	0.7475	0.47	0.59	0.4	0.53
197	0.735	0.705	0.72	0.72	0.5	0.58	0.51	0.54
198	0.715	0.755	0.65	0.735	0.53	0.42	0.53	0.475
199	0.72	0.76	0.675	0.74	0.48	0.55	0.55	0.515
200	0.72	0.755	0.7	0.7375	0.5	0.53	0.52	0.515
201	0.735	0.68	0.66	0.7075	0.48	0.5	0.5	0.49
202	0.72	0.685	0.66	0.7025	0.56	0.62	0.44	0.59
203	0.695	0.73	0.675	0.7125	0.44	0.52	0.54	0.48
204	0.725	0.695	0.645	0.71	0.5	0.46	0.52	0.48
205	0.735	0.735	0.67	0.735	0.46	0.46	0.49	0.46
206	0.73	0.775	0.69	0.7525	0.43	0.62	0.51	0.525
207	0.66	0.765	0.765	0.7125	0.45	0.47	0.52	0.46
208	0.755	0.715	0.645	0.735	0.44	0.48	0.51	0.46
209	0.74	0.74	0.695	0.74	0.39	0.59	0.42	0.49
210	0.75	0.705	0.685	0.7275	0.48	0.53	0.47	0.505
211	0.695	0.73	0.69	0.7125	0.44	0.54	0.5	0.49
212	0.75	0.69	0.68	0.72	0.46	0.51	0.48	0.485
213	0.73	0.725	0.675	0.7275	0.5	0.52	0.54	0.51
214	0.77	0.745	0.635	0.7575	0.39	0.41	0.52	0.4
215	0.755	0.76	0.72	0.7575	0.52	0.45	0.44	0.485
216	0.71	0.745	0.7	0.7275	0.52	0.48	0.45	0.5
217	0.695	0.765	0.675	0.73	0.5	0.6	0.55	0.55
218	0.8	0.725	0.73	0.7625	0.51	0.56	0.64	0.535
219	0.7	0.735	0.705	0.7175	0.45	0.51	0.53	0.48
220	0.705	0.73	0.69	0.7175	0.46	0.42	0.51	0.44
221	0.72	0.74	0.685	0.73	0.5	0.55	0.43	0.525
222	0.74	0.715	0.655	0.7275	0.49	0.47	0.48	0.48
223	0.695	0.735	0.71	0.715	0.48	0.44	0.52	0.46
224	0.795	0.695	0.76	0.745	0.53	0.46	0.48	0.495
225	0.74	0.715	0.69	0.7275	0.38	0.54	0.51	0.46
226	0.75	0.735	0.645	0.7425	0.41	0.49	0.52	0.45
227	0.735	0.725	0.675	0.73	0.49	0.42	0.43	0.455
228	0.715	0.705	0.675	0.71	0.51	0.57	0.38	0.54
229	0.735	0.745	0.655	0.74	0.52	0.51	0.4	0.515
230	0.765	0.76	0.675	0.7625	0.51	0.46	0.44	0.485
231	0.735	0.8	0.72	0.7675	0.51	0.53	0.52	0.52
232	0.7	0.73	0.71	0.715	0.44	0.51	0.5	0.475
233	0.71	0.725	0.63	0.7175	0.48	0.46	0.48	0.47
234	0.765	0.725	0.69	0.745	0.52	0.48	0.48	0.5
235	0.7	0.705	0.665	0.7025	0.43	0.44	0.47	0.435
236	0.725	0.715	0.685	0.72	0.45	0.5	0.48	0.475
237	0.705	0.735	0.69	0.72	0.5	0.43	0.5	0.465
238	0.73	0.7	0.695	0.715	0.53	0.4	0.46	0.465
239	0.745	0.72	0.705	0.7325	0.47	0.54	0.41	0.505
240	0.72	0.74	0.705	0.73	0.48	0.49	0.47	0.485
241	0.76	0.69	0.67	0.725	0.43	0.53	0.5	0.48
242	0.705	0.72	0.705	0.7125	0.44	0.4	0.57	0.42
243	0.715	0.705	0.63	0.71	0.45	0.53	0.47	0.49
244	0.735	0.73	0.675	0.7325	0.42	0.47	0.48	0.445
245	0.75	0.745	0.7	0.7475	0.44	0.49	0.45	0.465
246	0.71	0.715	0.725	0.7125	0.51	0.38	0.52	0.445
247	0.76	0.685	0.665	0.7225	0.44	0.46	0.48	0.45
248	0.75	0.71	0.74	0.73	0.48	0.55	0.55	0.515
249	0.73	0.71	0.7	0.72	0.49	0.49	0.49	0.49
250	0.735	0.73	0.66	0.7325	0.45	0.39	0.49	0.42
251	0.765	0.755	0.68	0.76	0.4	0.46	0.39	0.43
252	0.695	0.76	0.7	0.7275	0.42	0.42	0.46	0.42
253	0.755	0.72	0.7	0.7375	0.45	0.4	0.39	0.425
254	0.68	0.805	0.68	0.7425	0.42	0.53	0.47	0.475
255	0.715	0.7	0.675	0.7075	0.43	0.49	0.5	0.46
256	0.71	0.75	0.665	0.73	0.46	0.51	0.58	0.485
257	0.72	0.705	0.72	0.7125	0.48	0.43	0.51	0.455
258	0.735	0.75	0.72	0.7425	0.45	0.5	0.52	0.475
259	0.705	0.745	0.735	0.725	0.42	0.44	0.41	0.43
260	0.7	0.71	0.66	0.705	0.46	0.5	0.41	0.48
261	0.735	0.735	0.64	0.735	0.37	0.43	0.51	0.4
262	0.675	0.685	0.71	0.68	0.49	0.44	0.46	0.465
263	0.685	0.71	0.72	0.6975	0.43	0.46	0.45	0.445
264	0.7	0.755	0.645	0.7275	0.49	0.47	0.46	0.48
265	0.7	0.73	0.66	0.715	0.44	0.51	0.5	0.475
266	0.69	0.73	0.7	0.71	0.48	0.42	0.51	0.45
267	0.695	0.73	0.69	0.7125	0.44	0.49	0.51	0.465
268	0.705	0.775	0.67	0.74	0.44	0.51	0.46	0.475
269	0.685	0.73	0.765	0.7075	0.45	0.37	0.5	0.41
270	0.72	0.755	0.67	0.7375	0.42	0.46	0.53	0.44
271	0.715	0.725	0.68	0.72	0.47	0.46	0.49	0.465
272	0.745	0.745	0.64	0.745	0.48	0.5	0.42	0.49
273	0.63	0.735	0.715	0.6825	0.51	0.33	0.41	0.42
274	0.725	0.715	0.665	0.72	0.41	0.44	0.46	0.425
275	0.74	0.77	0.73	0.755	0.4	0.44	0.47	0.42
276	0.675	0.765	0.745	0.72	0.41	0.4	0.41	0.405
277	0.705	0.74	0.645	0.7225	0.49	0.42	0.4	0.455
278	0.705	0.76	0.715	0.7325	0.42	0.47	0.42	0.445
279	0.77	0.72	0.68	0.745	0.39	0.43	0.47	0.41
280	0.715	0.68	0.715	0.6975	0.39	0.38	0.54	0.385
281	0.745	0.755	0.685	0.75	0.45	0.46	0.49	0.455
282	0.725	0.72	0.705	0.7225	0.41	0.36	0.39	0.385
283	0.725	0.68	0.705	0.7025	0.44	0.35	0.41	0.395
284	0.79	0.795	0.695	0.7925	0.36	0.46	0.38	0.41
285	0.755	0.76	0.74	0.7575	0.42	0.42	0.48	0.42
286	0.725	0.725	0.69	0.725	0.35	0.43	0.4	0.39
287	0.705	0.715	0.705	0.71	0.39	0.38	0.45	0.385
288	0.685	0.74	0.66	0.7125	0.38	0.43	0.46	0.405
289	0.71	0.75	0.67	0.73	0.42	0.42	0.5	0.42
290	0.665	0.705	0.68	0.685	0.44	0.43	0.48	0.435
291	0.715	0.73	0.665	0.7225	0.41	0.49	0.49	0.45
292	0.69	0.705	0.66	0.6975	0.44	0.47	0.45	0.455
293	0.775	0.71	0.66	0.7425	0.44	0.42	0.46	0.43
294	0.68	0.725	0.7	0.7025	0.49	0.45	0.43	0.47
295	0.72	0.75	0.65	0.735	0.44	0.5	0.44	0.47
296	0.745	0.7	0.725	0.7225	0.47	0.38	0.51	0.425
297	0.72	0.71	0.69	0.715	0.42	0.42	0.47	0.42
298	0.69	0.66	0.67	0.675	0.37	0.48	0.44	0.425
299	0.745	0.755	0.62	0.75	0.45	0.39	0.49	0.42
300	0.72	0.78	0.69	0.75	0.35	0.41	0.46	0.38
301	0.735	0.74	0.685	0.7375	0.48	0.42	0.41	0.45
302	0.73	0.75	0.675	0.74	0.43	0.44	0.4	0.435
303	0.715	0.68	0.69	0.6975	0.42	0.48	0.41	0.45
304	0.715	0.73	0.69	0.7225	0.42	0.44	0.45	0.43
305	0.745	0.78	0.67	0.7625	0.44	0.43	0.4	0.435
306	0.7	0.745	0.71	0.7225	0.42	0.41	0.44	0.415
307	0.655	0.72	0.69	0.6875	0.4	0.48	0.39	0.44
308	0.795	0.645	0.705	0.72	0.42	0.45	0.47	0.435
309	0.72	0.75	0.68	0.735	0.38	0.46	0.53	0.42
310	0.715	0.715	0.68	0.715	0.49	0.46	0.44	0.475
311	0.735	0.745	0.685	0.74	0.4	0.48	0.43	0.44
312	0.685	0.72	0.665	0.7025	0.45	0.36	0.45	0.405
313	0.69	0.785	0.665	0.7375	0.38	0.43	0.5	0.405
314	0.715	0.77	0.67	0.7425	0.35	0.44	0.52	0.395
315	0.73	0.75	0.68	0.74	0.38	0.39	0.5	0.385
316	0.73	0.68	0.66	0.705	0.47	0.36	0.53	0.415
317	0.74	0.765	0.67	0.7525	0.38	0.39	0.48	0.385
318	0.715	0.7	0.68	0.7075	0.38	0.49	0.41	0.435
319	0.725	0.695	0.705	0.71	0.48	0.4	0.5	0.44
320	0.715	0.74	0.695	0.7275	0.35	0.38	0.39	0.365
321	0.725	0.69	0.66	0.7075	0.33	0.38	0.47	0.355
322	0.695	0.68	0.68	0.6875	0.37	0.45	0.48	0.41
323	0.75	0.73	0.66	0.74	0.39	0.39	0.43	0.39
324	0.72	0.715	0.68	0.7175	0.45	0.38	0.45	0.415
325	0.74	0.7	0.64	0.72	0.41	0.42	0.48	0.415
326	0.725	0.74	0.68	0.7325	0.4	0.46	0.5	0.43
327	0.75	0.685	0.705	0.7175	0.41	0.45	0.45	0.43
328	0.74	0.735	0.655	0.7375	0.38	0.3	0.47	0.34
329	0.78	0.71	0.64	0.745	0.36	0.37	0.41	0.365
330	0.795	0.69	0.725	0.7425	0.36	0.41	0.35	0.385
331	0.755	0.745	0.685	0.75	0.31	0.38	0.46	0.345
332	0.72	0.72	0.695	0.72	0.43	0.37	0.43	0.4
333	0.74	0.67	0.68	0.705	0.35	0.34	0.39	0.345
334	0.7	0.755	0.65	0.7275	0.36	0.37	0.39	0.365
335	0.765	0.705	0.665	0.735	0.41	0.37	0.44	0.39
336	0.725	0.725	0.71	0.725	0.47	0.38	0.46	0.425
337	0.775	0.715	0.655	0.745	0.38	0.4	0.46	0.39
338	0.715	0.695	0.705	0.705	0.34	0.53	0.48	0.435
339	0.745	0.745	0.645	0.745	0.38	0.47	0.47	0.425
340	0.755	0.735	0.745	0.745	0.43	0.4	0.43	0.415
341	0.725	0.66	0.71	0.6925	0.29	0.41	0.46	0.35
342	0.665	0.735	0.66	0.7	0.35	0.42	0.38	0.385
343	0.745	0.75	0.645	0.7475	0.44	0.37	0.39	0.405
344	0.735	0.725	0.685	0.73	0.38	0.44	0.42	0.41
345	0.72	0.68	0.725	0.7	0.36	0.44	0.46	0.4
346	0.765	0.76	0.63	0.7625	0.37	0.29	0.44	0.33
347	0.685	0.685	0.745	0.685	0.41	0.4	0.41	0.405
