scenario_name,run_number,agent_id,strategy,final_score,final_q_values_avg,full_q_values,exploration_rate,cooperation_rate
NPD_Classic_WithExploration,1,0,always_cooperate,20.0,,,0.1,0.9
NPD_Classic_WithExploration,1,1,always_defect,63.5,,,0.1,0.2
NPD_Classic_WithExploration,1,2,tit_for_tat,53.5,,,0.1,0.35
