scenario_name,agent_id,strategy,final_score,final_q_values_avg,full_q_values
WolfPHC_SmallWorld,12,wolf_phc,173.34482758620783,"{'avg_cooperate': 0.9356229694763101, 'avg_defect': 0.4359916651632947}","{'initial': {'cooperate': 0.020689655172413793, 'defect': 0.0}, (1.0,): {'cooperate': 0.8258472779948665, 'defect': 0.26209594153449456}, (0.8,): {'cooperate': 2.2249999466406494, 'defect': 1.4768723726604769}, (0.4,): {'cooperate': 0.1960588263421429, 'defect': 0.0}, (0.6,): {'cooperate': 1.4105191412314775, 'defect': 0.44099001162150187}}"
WolfPHC_SmallWorld,13,wolf_phc,156.79310344827638,"{'avg_cooperate': 0.7609816521361163, 'avg_defect': 0.402226886346039}","{'initial': {'cooperate': 0.015517241379310346, 'defect': 0.0}, (1.0,): {'cooperate': 2.1417210502711015, 'defect': 1.170371982882799}, (0.8,): {'cooperate': 1.3833241073716316, 'defect': 0.840762448847396}, (0.4,): {'cooperate': 0.24882862027922822, 'defect': 0.0}, (0.2,): {'cooperate': 0.015517241379310346, 'defect': 0.0}}"
WolfPHC_SmallWorld,14,wolf_phc,300.6896551724148,"{'avg_cooperate': 1.2437403191266374, 'avg_defect': 1.1031141514844458}","{'initial': {'cooperate': 0.025862068965517244, 'defect': 0.0}, (1.0,): {'cooperate': 3.635539653903573, 'defect': 2.6902539481604473}, (0.8,): {'cooperate': 2.531437803798579, 'defect': 0.885682158229399}, (0.6,): {'cooperate': 0.025862068965517244, 'defect': 1.8620484441358314}, (0.4,): {'cooperate': 0.0, 'defect': 0.07758620689655173}}"
WolfPHC_SmallWorld,15,wolf_phc,231.9655172413808,"{'avg_cooperate': 1.0912525480728714, 'avg_defect': 0.43456065511372605}","{'initial': {'cooperate': 0.025862068965517244, 'defect': 0.0}, (1.0,): {'cooperate': 1.6616923001064698, 'defect': 0.4329774673558424}, (0.6,): {'cooperate': 1.122351905905713, 'defect': 0.47036911270122733}, (0.8,): {'cooperate': 3.6347793608733214, 'defect': 1.704017350625287}, (0.4,): {'cooperate': 0.0821399974137931, 'defect': 0.0}, (0.2,): {'cooperate': 0.020689655172413793, 'defect': 0.0}}"
WolfPHC_SmallWorld,16,wolf_phc,338.1379310344834,"{'avg_cooperate': 0.9306633184694665, 'avg_defect': 1.7564215799983054}","{'initial': {'cooperate': 0.020689655172413793, 'defect': 0.0}, (1.0,): {'cooperate': 3.1615559962336675, 'defect': 2.3628573346073263}, (0.8,): {'cooperate': 1.1613256033005397, 'defect': 6.419250565384201}, (0.6,): {'cooperate': 0.2942280962614014, 'defect': 0.0}, (0.4,): {'cooperate': 0.015517241379310346, 'defect': 0.0}}"
WolfPHC_SmallWorld,17,wolf_phc,254.1379310344842,"{'avg_cooperate': 1.3726869552516354, 'avg_defect': 0.40426050765390176}","{'initial': {'cooperate': 0.025862068965517244, 'defect': 0.0}, (1.0,): {'cooperate': 3.685795618325448, 'defect': 1.3094573559490323}, (0.8,): {'cooperate': 2.5295326596613834, 'defect': 0.534250966273514}, (0.6,): {'cooperate': 0.5706496017196202, 'defect': 0.17759421604696252}, (0.4,): {'cooperate': 0.0515948275862069, 'defect': 0.0}}"
WolfPHC_SmallWorld,18,wolf_phc,207.8620689655187,"{'avg_cooperate': 1.0604930605666565, 'avg_defect': 0.5032895804112393}","{'initial': {'cooperate': 0.020689655172413793, 'defect': 0.0}, (1.0,): {'cooperate': 2.9115802808808953, 'defect': 1.701460907275938}, (0.8,): {'cooperate': 1.9273650380416043, 'defect': 0.6543141708656055}, (0.6,): {'cooperate': 0.39136442356595613, 'defect': 0.16067282391465265}, (0.4,): {'cooperate': 0.0514659051724138, 'defect': 0.0}}"
WolfPHC_SmallWorld,19,wolf_phc,258.62068965517403,"{'avg_cooperate': 1.3625879956572116, 'avg_defect': 0.6134871334482503}","{'initial': {'cooperate': 0.025862068965517244, 'defect': 0.0}, (1.0,): {'cooperate': 3.1702990158313935, 'defect': 1.9219370223405292}, (0.8,): {'cooperate': 2.919969343947911, 'defect': 1.0511119784286145}, (0.6,): {'cooperate': 0.6503612736791669, 'defect': 0.09438666647210812}, (0.4,): {'cooperate': 0.04644827586206897, 'defect': 0.0}}"
WolfPHC_SmallWorld,20,q_learning,321.27586206896694,"{'avg_cooperate': 1.5995790700398862, 'avg_defect': 2.799961599934057}","{'initial': {'cooperate': 0.041379310344827586, 'defect': 0.0}, (1.0,): {'cooperate': 3.1922758256230055, 'defect': 10.298012896804476}, (0.8,): {'cooperate': 3.0129282936557327, 'defect': 2.8880686760426015}, (0.6,): {'cooperate': 1.5891744995758645, 'defect': 0.8137264268232074}, (0.4,): {'cooperate': 0.162137421, 'defect': 0.0}}"
WolfPHC_SmallWorld,21,q_learning,202.51724137931052,"{'avg_cooperate': 0.7835386367684917, 'avg_defect': 1.9912705459155582}","{'initial': {'cooperate': 0.031034482758620693, 'defect': 0.0}, (1.0,): {'cooperate': 1.2012432392235664, 'defect': 0.7420342197034555}, (0.8,): {'cooperate': 2.216485760543871, 'defect': 5.166064404556867}, (0.4,): {'cooperate': 0.3971345289026074, 'defect': 4.048254105317468}, (0.2,): {'cooperate': 0.07179517241379312, 'defect': 0.0}}"
WolfPHC_SmallWorld,22,q_learning,567.9310344827572,"{'avg_cooperate': 2.6576541516826944, 'avg_defect': 4.6864962489414435}","{'initial': {'cooperate': 0.031034482758620693, 'defect': 0.0}, (1.0,): {'cooperate': 7.006649128283801, 'defect': 11.77164900804993}, (0.8,): {'cooperate': 5.338058128015294, 'defect': 11.142219235008493}, (0.4,): {'cooperate': 0.8918393641833424, 'defect': 0.5186130016487904}, (0.2,): {'cooperate': 0.020689655172413793, 'defect': 0.0}}"
WolfPHC_SmallWorld,23,q_learning,348.65517241379405,"{'avg_cooperate': 1.700874781503613, 'avg_defect': 2.508235109762555}","{'initial': {'cooperate': 0.05172413793103449, 'defect': 0.0}, (1.0,): {'cooperate': 0.8496446893410947, 'defect': 0.19265066698969882}, (0.8,): {'cooperate': 4.350428395100055, 'defect': 11.04610423836475}, (0.6,): {'cooperate': 2.7811138511286453, 'defect': 2.4537155192833495}, (0.4,): {'cooperate': 2.0593700293139516, 'defect': 0.640622025254534}, (0.2,): {'cooperate': 0.11296758620689656, 'defect': 0.716318208682995}}"
WolfPHC_SmallWorld,24,q_learning,267.8275862068979,"{'avg_cooperate': 1.6079319237863006, 'avg_defect': 1.737954575293104}","{'initial': {'cooperate': 0.062068965517241385, 'defect': 0.0}, (1.0,): {'cooperate': 2.5317571402423877, 'defect': 1.7879157559911694}, (0.8,): {'cooperate': 3.378649902934884, 'defect': 2.3157706870602204}, (0.6,): {'cooperate': 3.0431136501969998, 'defect': 1.8685124734552856}, (0.4,): {'cooperate': 0.5906225734814639, 'defect': 4.455528535251948}, (0.2,): {'cooperate': 0.041379310344827586, 'defect': 0.0}}"
WolfPHC_SmallWorld,25,q_learning,185.44827586206992,"{'avg_cooperate': 1.5194631378097578, 'avg_defect': 0.854024001683408}","{'initial': {'cooperate': 0.041379310344827586, 'defect': 0.0}, (1.0,): {'cooperate': 2.6184647954379283, 'defect': 1.5325423694797884}, (0.6,): {'cooperate': 1.7661229066293107, 'defect': 0.0}, (0.8,): {'cooperate': 2.8920408364892225, 'defect': 2.7375776389372515}, (0.4,): {'cooperate': 0.2793078401474997, 'defect': 0.0}}"
WolfPHC_SmallWorld,26,q_learning,359.6551724137944,"{'avg_cooperate': 1.5922759292607809, 'avg_defect': 2.590577397394998}","{'initial': {'cooperate': 0.041379310344827586, 'defect': 0.0}, (1.0,): {'cooperate': 4.592210351099753, 'defect': 11.278113530619235}, (0.8,): {'cooperate': 2.9106660115245746, 'defect': 3.5177802215764746}, (0.6,): {'cooperate': 1.7762713698055286, 'defect': 0.7475706321742768}, (0.4,): {'cooperate': 0.19174922244517245, 'defect': 0.0}, (0.2,): {'cooperate': 0.041379310344827586, 'defect': 0.0}}"
WolfPHC_SmallWorld,27,q_learning,293.8275862068968,"{'avg_cooperate': 1.1798926564665257, 'avg_defect': 2.384030106678066}","{'initial': {'cooperate': 0.031034482758620693, 'defect': 0.0}, (1.0,): {'cooperate': 0.8605305211169149, 'defect': 0.5326316345752634}, (0.8,): {'cooperate': 2.887397324481117, 'defect': 10.368800281187987}, (0.4,): {'cooperate': 1.2776053055913015, 'defect': 0.865537673294198}, (0.2,): {'cooperate': 0.8428956483846749, 'defect': 0.15318094433288032}}"
WolfPHC_SmallWorld,28,q_learning,389.0000000000006,"{'avg_cooperate': 1.75484924813561, 'avg_defect': 2.4548504195740746}","{'initial': {'cooperate': 0.05172413793103449, 'defect': 0.0}, (1.0,): {'cooperate': 1.0497026958683342, 'defect': 0.40415990121991474}, (0.8,): {'cooperate': 2.2740613575240647, 'defect': 1.5338312107214316}, (0.6,): {'cooperate': 4.409501994285285, 'defect': 12.357127060199804}, (0.4,): {'cooperate': 2.161698973345407, 'defect': 0.4339843453032963}, (0.2,): {'cooperate': 0.5824063298595344, 'defect': 0.0}}"
WolfPHC_SmallWorld,29,q_learning,456.1034482758624,"{'avg_cooperate': 2.4218100945974235, 'avg_defect': 4.205414281823377}","{'initial': {'cooperate': 0.041379310344827586, 'defect': 0.0}, (1.0,): {'cooperate': 2.4246322803706915, 'defect': 6.815951767664802}, (0.8,): {'cooperate': 6.679657469566715, 'defect': 12.044367351461172}, (0.4,): {'cooperate': 0.8032964460200851, 'defect': 0.2190061067547235}, (0.6,): {'cooperate': 2.1600849666848, 'defect': 1.9477461832361875}}"
