scenario_name,run_number,round,agent_id,move,payoff,strategy
GeneratedScenario_0021,9,0,0,defect,225,random
GeneratedScenario_0021,9,0,1,cooperate,172,random
GeneratedScenario_0021,9,0,2,defect,225,random
GeneratedScenario_0021,9,0,3,cooperate,172,random
GeneratedScenario_0021,9,0,4,cooperate,172,random
GeneratedScenario_0021,9,0,5,defect,225,random
GeneratedScenario_0021,9,0,6,cooperate,172,random
GeneratedScenario_0021,9,0,7,cooperate,172,random
GeneratedScenario_0021,9,0,8,defect,225,random
GeneratedScenario_0021,9,0,9,defect,225,random
GeneratedScenario_0021,9,0,10,defect,225,random
GeneratedScenario_0021,9,0,11,cooperate,172,random
GeneratedScenario_0021,9,0,12,cooperate,172,random
GeneratedScenario_0021,9,0,13,cooperate,172,generous_tit_for_tat
GeneratedScenario_0021,9,0,14,cooperate,172,generous_tit_for_tat
GeneratedScenario_0021,9,0,15,cooperate,172,generous_tit_for_tat
GeneratedScenario_0021,9,0,16,cooperate,172,generous_tit_for_tat
GeneratedScenario_0021,9,0,17,cooperate,172,generous_tit_for_tat
GeneratedScenario_0021,9,0,18,cooperate,172,generous_tit_for_tat
GeneratedScenario_0021,9,0,19,cooperate,172,generous_tit_for_tat
GeneratedScenario_0021,9,0,20,cooperate,172,generous_tit_for_tat
GeneratedScenario_0021,9,0,21,cooperate,172,generous_tit_for_tat
GeneratedScenario_0021,9,0,22,cooperate,172,generous_tit_for_tat
GeneratedScenario_0021,9,0,23,cooperate,172,generous_tit_for_tat
GeneratedScenario_0021,9,0,24,cooperate,172,generous_tit_for_tat
GeneratedScenario_0021,9,0,25,cooperate,172,generous_tit_for_tat
GeneratedScenario_0021,9,0,26,cooperate,172,generous_tit_for_tat
GeneratedScenario_0021,9,0,27,cooperate,172,generous_tit_for_tat
GeneratedScenario_0021,9,0,28,cooperate,172,generous_tit_for_tat
GeneratedScenario_0021,9,0,29,cooperate,172,generous_tit_for_tat
GeneratedScenario_0021,9,0,30,cooperate,172,generous_tit_for_tat
GeneratedScenario_0021,9,0,31,cooperate,172,generous_tit_for_tat
GeneratedScenario_0021,9,0,32,cooperate,172,generous_tit_for_tat
GeneratedScenario_0021,9,0,33,cooperate,172,generous_tit_for_tat
GeneratedScenario_0021,9,0,34,cooperate,172,generous_tit_for_tat
GeneratedScenario_0021,9,0,35,cooperate,172,generous_tit_for_tat
GeneratedScenario_0021,9,0,36,cooperate,172,generous_tit_for_tat
GeneratedScenario_0021,9,0,37,cooperate,172,generous_tit_for_tat
GeneratedScenario_0021,9,0,38,cooperate,172,generous_tit_for_tat
GeneratedScenario_0021,9,0,39,cooperate,172,generous_tit_for_tat
GeneratedScenario_0021,9,0,40,cooperate,172,generous_tit_for_tat
GeneratedScenario_0021,9,0,41,cooperate,172,generous_tit_for_tat
GeneratedScenario_0021,9,0,42,cooperate,172,generous_tit_for_tat
GeneratedScenario_0021,9,0,43,cooperate,172,generous_tit_for_tat
GeneratedScenario_0021,9,0,44,cooperate,172,generous_tit_for_tat
GeneratedScenario_0021,9,0,45,cooperate,172,generous_tit_for_tat
GeneratedScenario_0021,9,0,46,cooperate,172,generous_tit_for_tat
GeneratedScenario_0021,9,0,47,cooperate,172,generous_tit_for_tat
GeneratedScenario_0021,9,0,48,cooperate,172,generous_tit_for_tat
GeneratedScenario_0021,9,0,49,cooperate,172,generous_tit_for_tat
GeneratedScenario_0021,9,1,0,defect,221,random
GeneratedScenario_0021,9,1,1,cooperate,168,random
GeneratedScenario_0021,9,1,2,cooperate,168,random
GeneratedScenario_0021,9,1,3,defect,221,random
GeneratedScenario_0021,9,1,4,defect,221,random
GeneratedScenario_0021,9,1,5,defect,221,random
GeneratedScenario_0021,9,1,6,defect,221,random
GeneratedScenario_0021,9,1,7,cooperate,168,random
GeneratedScenario_0021,9,1,8,cooperate,168,random
GeneratedScenario_0021,9,1,9,cooperate,168,random
GeneratedScenario_0021,9,1,10,defect,221,random
GeneratedScenario_0021,9,1,11,defect,221,random
GeneratedScenario_0021,9,1,12,cooperate,168,random
GeneratedScenario_0021,9,1,13,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,1,14,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,1,15,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,1,16,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,1,17,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,1,18,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,1,19,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,1,20,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,1,21,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,1,22,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,1,23,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,1,24,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,1,25,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,1,26,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,1,27,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,1,28,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,1,29,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,1,30,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,1,31,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,1,32,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,1,33,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,1,34,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,1,35,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,1,36,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,1,37,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,1,38,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,1,39,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,1,40,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,1,41,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,1,42,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,1,43,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,1,44,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,1,45,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,1,46,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,1,47,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,1,48,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,1,49,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,2,0,cooperate,168,random
GeneratedScenario_0021,9,2,1,cooperate,168,random
GeneratedScenario_0021,9,2,2,cooperate,168,random
GeneratedScenario_0021,9,2,3,defect,221,random
GeneratedScenario_0021,9,2,4,defect,221,random
GeneratedScenario_0021,9,2,5,defect,221,random
GeneratedScenario_0021,9,2,6,defect,221,random
GeneratedScenario_0021,9,2,7,defect,221,random
GeneratedScenario_0021,9,2,8,cooperate,168,random
GeneratedScenario_0021,9,2,9,cooperate,168,random
GeneratedScenario_0021,9,2,10,defect,221,random
GeneratedScenario_0021,9,2,11,cooperate,168,random
GeneratedScenario_0021,9,2,12,defect,221,random
GeneratedScenario_0021,9,2,13,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,2,14,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,2,15,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,2,16,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,2,17,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,2,18,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,2,19,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,2,20,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,2,21,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,2,22,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,2,23,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,2,24,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,2,25,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,2,26,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,2,27,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,2,28,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,2,29,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,2,30,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,2,31,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,2,32,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,2,33,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,2,34,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,2,35,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,2,36,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,2,37,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,2,38,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,2,39,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,2,40,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,2,41,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,2,42,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,2,43,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,2,44,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,2,45,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,2,46,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,2,47,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,2,48,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,2,49,cooperate,168,generous_tit_for_tat
GeneratedScenario_0021,9,3,0,defect,209,random
GeneratedScenario_0021,9,3,1,defect,209,random
GeneratedScenario_0021,9,3,2,defect,209,random
GeneratedScenario_0021,9,3,3,defect,209,random
GeneratedScenario_0021,9,3,4,defect,209,random
GeneratedScenario_0021,9,3,5,defect,209,random
GeneratedScenario_0021,9,3,6,cooperate,156,random
GeneratedScenario_0021,9,3,7,defect,209,random
GeneratedScenario_0021,9,3,8,defect,209,random
GeneratedScenario_0021,9,3,9,cooperate,156,random
GeneratedScenario_0021,9,3,10,defect,209,random
GeneratedScenario_0021,9,3,11,cooperate,156,random
GeneratedScenario_0021,9,3,12,defect,209,random
GeneratedScenario_0021,9,3,13,cooperate,156,generous_tit_for_tat
GeneratedScenario_0021,9,3,14,cooperate,156,generous_tit_for_tat
GeneratedScenario_0021,9,3,15,cooperate,156,generous_tit_for_tat
GeneratedScenario_0021,9,3,16,cooperate,156,generous_tit_for_tat
GeneratedScenario_0021,9,3,17,cooperate,156,generous_tit_for_tat
GeneratedScenario_0021,9,3,18,cooperate,156,generous_tit_for_tat
GeneratedScenario_0021,9,3,19,cooperate,156,generous_tit_for_tat
GeneratedScenario_0021,9,3,20,cooperate,156,generous_tit_for_tat
GeneratedScenario_0021,9,3,21,cooperate,156,generous_tit_for_tat
GeneratedScenario_0021,9,3,22,cooperate,156,generous_tit_for_tat
GeneratedScenario_0021,9,3,23,cooperate,156,generous_tit_for_tat
GeneratedScenario_0021,9,3,24,cooperate,156,generous_tit_for_tat
GeneratedScenario_0021,9,3,25,cooperate,156,generous_tit_for_tat
GeneratedScenario_0021,9,3,26,cooperate,156,generous_tit_for_tat
GeneratedScenario_0021,9,3,27,cooperate,156,generous_tit_for_tat
GeneratedScenario_0021,9,3,28,cooperate,156,generous_tit_for_tat
GeneratedScenario_0021,9,3,29,cooperate,156,generous_tit_for_tat
GeneratedScenario_0021,9,3,30,cooperate,156,generous_tit_for_tat
GeneratedScenario_0021,9,3,31,cooperate,156,generous_tit_for_tat
GeneratedScenario_0021,9,3,32,cooperate,156,generous_tit_for_tat
